layout,dp,tp,pp,vpp,ep,cp,gpus,offload_f,sparse,fits,feasible,b_d_per_replica,tpot_ms,ttft_s,replica_tps,system_tps_optimistic,system_tps_conservative
"1x72 (TP8,PP9)",1,8,9,1,1,1,72,0.0,1.0,True,True,512,13.500359747500907,0.043,12024.6,12024.6,12024.6
"1x72 (TP8,PP9)",1,8,9,1,1,1,72,0.3,0.1,True,True,512,10.904562816500905,0.041,12805.2,12805.2,11457.8
"2x36 (TP8,PP4)",2,8,4,1,1,1,64,0.0,1.0,True,True,512,30.08373434118591,0.06,8654.1,17308.2,17308.2
"2x36 (TP8,PP4)",2,8,4,1,1,1,64,0.3,0.1,True,True,512,24.293063693560907,0.054,9593.0,19186.1,16037.5
"4x18 (TP6,PP3)",4,6,3,1,1,1,72,0.0,1.0,True,True,384,44.68632685224482,0.085,5205.7,20822.8,20822.8
"4x18 (TP6,PP3)",4,6,3,1,1,1,72,0.3,0.1,True,True,512,42.98891973937427,0.083,6262.2,25048.6,20517.3
"8x9  (TP3,PP3)",8,3,3,1,1,1,72,0.0,1.0,True,True,64,44.89463802875064,0.126,1172.4,9379.4,9379.4
"8x9  (TP3,PP3)",8,3,3,1,1,1,72,0.3,0.1,True,True,96,46.65345162208165,0.128,1568.8,12550.5,11320.7
"1x72 VPP (TP8,PP9,VPP4)",1,8,9,4,1,1,72,0.0,1.0,True,True,512,13.344586365798973,0.043,12068.7,12068.7,12068.7
"1x72 VPP (TP8,PP9,VPP4)",1,8,9,4,1,1,72,0.3,0.1,True,True,512,10.778740937848971,0.041,12845.7,12845.7,11504.1
"EP-heavy 1x64 (TP8,PP8,EP8)",1,8,8,1,8,1,64,0.0,1.0,True,True,512,15.269011233536073,0.045,11545.0,11545.0,11545.0
"EP-heavy 1x64 (TP8,PP8,EP8)",1,8,8,1,8,1,64,0.3,0.1,True,True,512,12.353722048061071,0.042,12357.4,12357.4,10960.6
"EP 2x32 (TP8,PP4,EP8)",2,8,4,1,8,1,64,0.0,1.0,True,True,512,30.30266198563036,0.06,8622.2,17244.4,17244.4
"EP 2x32 (TP8,PP4,EP8)",2,8,4,1,8,1,64,0.3,0.1,True,True,512,24.511991338005355,0.055,9553.8,19107.7,15982.7
TP-only 9x8 (TP8),9,8,1,1,1,1,72,0.0,1.0,True,True,24,31.178234827562566,0.063,737.5,6637.7,6637.7
TP-only 9x8 (TP8),9,8,1,1,1,1,72,0.3,0.1,True,True,32,35.13507279504904,0.067,866.0,7793.8,7238.8
